Ticker,GME Allocation,GME Market Value
GAMR,4.87%,$5.69M
XRT,3.44%,$23.82M
RETL,2.87%,$1.58M
XSVM,2.45%,$3.20M
RWJ,2.11%,$7.24M
PSCD,1.92%,$762.05K
VIOG,1.78%,$8.22M
IUSS,1.25%,$415.37K
VCR,1.16%,$59.93M
SFYF,0.69%,$86.46K
IWC,0.59%,$7.46M
EWSC,0.54%,$206.56K
SYLD,0.48%,$550.20K
PRF,0.44%,$20.30M
RALS,0.44%,$23.21K
FNDX,0.39%,$22.72M
FNDB,0.35%,$1.01M
VBR,0.31%,$61.45M
SLYV,0.30%,$10.88M
NUSC,0.30%,$2.15M
IJS,0.30%,$23.03M
XJR,0.30%,$28.26K
SPSM,0.29%,$11.36M
SLY,0.29%,$4.98M
FLQS,0.28%,$40.66K
IJR,0.28%,$183.75M
GSSC,0.27%,$848.15K
SLYG,0.26%,$6.28M
IJT,0.26%,$17.49M
NVQ,0.25%,$9.69K
IWN,0.21%,$30.29M
ESML,0.18%,$1.14M
SAA,0.18%,$63.51K
DMRS,0.17%,$77.66K
VB,0.17%,$67.98M
BBSC,0.15%,$15.41K
OMFS,0.15%,$163.28K
FDIS,0.13%,$1.85M
VIOV,0.12%,$909.40K
VIOO,0.12%,$1.40M
SSLY,0.11%,$21.01K
STSB,0.11%,$7.51K
IWM,0.10%,$70.13M
VTWV,0.09%,$481.12K
SCHA,0.07%,$11.10M
PBSM,0.07%,$15.20K
UWM,0.07%,$510.06K
URTY,0.05%,$255.29K
VTWO,0.04%,$1.39M
TILT,0.04%,$633.52K
VLU,0.04%,$31.34K
HDG,0.03%,$8.54K
AVUS,0.02%,$158.93K
MMTM,0.02%,$15.56K
DSI,0.02%,$453.97K
VXF,0.02%,$2.18M
SPTM,0.01%,$372.41K
SCHB,0.01%,$1.44M
ITOT,0.01%,$2.38M
IWV,0.01%,$696.19K
VTHR,0.00%,$26.79K
VTI,0.00%,$5.13M
