"SETTLEMENT.DATE","CUSIP","SYMBOL","QUANTITY..FAILS.","DESCRIPTION","PRICE","GME Allocation"
20210104,"025072885","AVUS",2542,"AMERICAN CENTY ETF TR AVANTIS ","63.00","0.02%"
20210104,"25460G815","RETL",520,"DIREXION DAILY RETAIL BULL 3X ","454.22","2.87%"
20210104,"26924G706","GAMR",244,"ETF MANAGERS TR WEDBUSH ETFMG ","78.94","4.87%"
20210104,"316092204","FDIS",16861,"FIDELITY COVINGTON TR MSCI CON","71.50","0.13%"
20210104,"36467W109","GME",182269,"GAMESTOP CORP (HLDG CO) CL A","18.84",NA
20210104,"381430602","GSSC",1,"GOLDMAN SACHS ETF TR ACTIVEBET","54.13","0.27%"
20210104,"46137V183","EWSC",464,"INVESCO","64.49","0.54%"
20210104,"46137V480","XSVM",1,"INVESCO S&P SMALLCAP VALUE WIT","34.92","2.45%"
20210104,"46137V613","PRF",15,"INVESCO EXCHANGE-TRADED FD TR ","133.20","0.44%"
20210104,"46138E180","PSCD",292,"INVESCO S&P SMALLCAP CONSUMER ","81.45","1.92%"
20210104,"46138E453","PBSM",1919,"INVESCO ETF TR II PUREBETA MSC","33.54","0.07%"
20210104,"46138G664","RWJ",2,"INVESCO EXCHANGE-TRADED FD TR ","81.10","2.11%"
20210104,"46138J593","OMFS",4456,"INVESCO EXCHANGE-TRADED SELF-I","32.95","0.15%"
20210104,"464287150","ITOT",6444,"ISHARES CORE S&P TOTAL U.S. ST","86.22","0.01%"
20210104,"464287630","IWN",454,"ISHARES RUSSELL2000 VAL ETF","131.75","0.21%"
20210104,"464287655","IWM",7218,"ISHARES RUSSELL 2000 ETF","196.06","0.10%"
20210104,"464287887","IJT",8126,"ISHARES S&P SMALL CAP 600 GROW","114.18","0.26%"
20210104,"464288869","IWC",21209,"RUSSELL MICRO CAP ETF","118.65","0.59%"
20210104,"67092P607","NUSC",6728,"NUVEEN ESG SMALL-CAP ETF","38.34","0.30%"
