"SETTLEMENT.DATE","CUSIP","SYMBOL","QUANTITY..FAILS.","DESCRIPTION","PRICE","GME Allocation"
20210104,"36467W109","GME",182269,"GAMESTOP CORP (HLDG CO) CL A","18.84",NA
20210105,"36467W109","GME",490723,"GAMESTOP CORP (HLDG CO) CL A","17.25",NA
20210106,"36467W109","GME",772112,"GAMESTOP CORP (HLDG CO) CL A","17.37",NA
20210107,"36467W109","GME",799328,"GAMESTOP CORP (HLDG CO) CL A","18.36",NA
20210108,"36467W109","GME",555658,"GAMESTOP CORP (HLDG CO) CL A","18.08",NA
20210111,"36467W109","GME",703110,"GAMESTOP CORP (HLDG CO) CL A","17.69",NA
20210112,"36467W109","GME",287730,"GAMESTOP CORP (HLDG CO) CL A","19.94",NA
20210113,"25460G815","RETL",178031,"DIREXION DAILY RETAIL BULL 3X ","124.79","2.87%"
20210113,"36467W109","GME",662524,"GAMESTOP CORP (HLDG CO) CL A","19.95",NA
20210114,"25460G815","RETL",179448,"DIREXION DAILY RETAIL BULL 3X ","123.42","2.87%"
20210114,"36467W109","GME",621483,"GAMESTOP CORP (HLDG CO) CL A","31.40",NA
20210115,"36467W109","GME",892653,"GAMESTOP CORP (HLDG CO) CL A","39.91",NA
20210119,"36467W109","GME",1498576,"GAMESTOP CORP (HLDG CO) CL A","35.50",NA
20210120,"36467W109","GME",1007562,"GAMESTOP CORP (HLDG CO) CL A","39.36",NA
20210121,"36467W109","GME",1438994,"GAMESTOP CORP (HLDG CO) CL A","39.12",NA
20210122,"36467W109","GME",273600,"GAMESTOP CORP (HLDG CO) CL A","43.03",NA
20210125,"36467W109","GME",275113,"GAMESTOP CORP (HLDG CO) CL A","65.01",NA
20210125,"78464A714","XRT",112536,"SPDR SERIES TR SPDR S&P RETAIL","74.87","3.44%"
20210126,"36467W109","GME",2099572,"GAMESTOP CORP (HLDG CO) CL A","76.79",NA
20210126,"78464A714","XRT",127661,"SPDR SERIES TR SPDR S&P RETAIL","76.18","3.44%"
20210127,"36467W109","GME",1972862,"GAMESTOP CORP (HLDG CO) CL A","147.98",NA
20210128,"36467W109","GME",1032986,"GAMESTOP CORP (HLDG CO) CL A","347.51",NA
20210128,"78464A714","XRT",385651,"SPDR SERIES TR SPDR S&P RETAIL","91.23","3.44%"
20210129,"36467W109","GME",138179,"GAMESTOP CORP (HLDG CO) CL A","193.60",NA
20210129,"78464A714","XRT",2218348,"SPDR SERIES TR SPDR S&P RETAIL","82.97","3.44%"
20210201,"78464A714","XRT",1135221,"SPDR SERIES TR SPDR S&P RETAIL","88.01","3.44%"
20210202,"36467W109","GME",159298,"GAMESTOP CORP (HLDG CO) CL A","225.00",NA
20210202,"78464A714","XRT",1555661,"SPDR SERIES TR SPDR S&P RETAIL","82.95","3.44%"
20210203,"78464A714","XRT",485989,"SPDR SERIES TR SPDR S&P RETAIL","76.14","3.44%"
20210208,"78464A714","XRT",216633,"SPDR SERIES TR SPDR S&P RETAIL","78.86","3.44%"
20210209,"78464A714","XRT",108238,"SPDR SERIES TR SPDR S&P RETAIL","80.07","3.44%"
20210216,"78464A714","XRT",120072,"SPDR SERIES TR SPDR S&P RETAIL","80.01","3.44%"
20210224,"36467W109","GME",173307,"GAMESTOP CORP (HLDG CO) CL A","44.97",NA
20210224,"78464A714","XRT",116334,"SPDR SERIES TR SPDR S&P RETAIL","78.00","3.44%"
20210226,"36467W109","GME",298018,"GAMESTOP CORP (HLDG CO) CL A","108.73",NA
20210302,"78464A714","XRT",413252,"SPDR SERIES TR SPDR S&P RETAIL","83.31","3.44%"
20210303,"78464A714","XRT",427133,"SPDR SERIES TR SPDR S&P RETAIL","81.88","3.44%"
20210310,"46138G664","RWJ",111709,"INVESCO EXCHANGE-TRADED FD TR ","116.16","2.11%"
20210311,"46138G664","RWJ",145704,"INVESCO EXCHANGE-TRADED FD TR ","120.32","2.11%"
20210312,"36467W109","GME",155658,"GAMESTOP CORP (HLDG CO) CL A","260.00",NA
